Route Index: 0 - Episode: 0 - 0h, 0m, 8s - Average Reward -38.069 - Average IR 0.505 - Epsilon: 0.99
Route Index: 1 - Episode: 0 - 0h, 0m, 8s - Average Reward -37.982 - Average IR 0.504 - Epsilon: 0.99
Route Index: 0 - Episode: 1 - 0h, 0m, 17s - Average Reward -38.148 - Average IR 0.5 - Epsilon: 0.98
Route Index: 2 - Episode: 0 - 0h, 0m, 9s - Average Reward -37.611 - Average IR 0.502 - Epsilon: 0.99
Route Index: 1 - Episode: 1 - 0h, 0m, 18s - Average Reward -37.991 - Average IR 0.499 - Epsilon: 0.98
Route Index: 3 - Episode: 0 - 0h, 0m, 10s - Average Reward -38.025 - Average IR 0.507 - Epsilon: 0.99
Route Index: 0 - Episode: 2 - 0h, 0m, 27s - Average Reward -38.112 - Average IR 0.503 - Epsilon: 0.97
Route Index: 2 - Episode: 1 - 0h, 0m, 19s - Average Reward -37.544 - Average IR 0.497 - Epsilon: 0.98
Route Index: 4 - Episode: 0 - 0h, 0m, 10s - Average Reward -37.57 - Average IR 0.504 - Epsilon: 0.99
Route Index: 1 - Episode: 2 - 0h, 0m, 28s - Average Reward -38.07 - Average IR 0.502 - Epsilon: 0.97
Route Index: 3 - Episode: 1 - 0h, 0m, 20s - Average Reward -38.137 - Average IR 0.502 - Epsilon: 0.98
Route Index: 0 - Episode: 3 - 0h, 0m, 38s - Average Reward -38.188 - Average IR 0.501 - Epsilon: 0.961
Route Index: 2 - Episode: 2 - 0h, 0m, 30s - Average Reward -37.558 - Average IR 0.5 - Epsilon: 0.97
Route Index: 4 - Episode: 1 - 0h, 0m, 20s - Average Reward -37.475 - Average IR 0.5 - Epsilon: 0.98
Route Index: 1 - Episode: 3 - 0h, 0m, 40s - Average Reward -37.956 - Average IR 0.5 - Epsilon: 0.961
Route Index: 3 - Episode: 2 - 0h, 0m, 31s - Average Reward -38.003 - Average IR 0.505 - Epsilon: 0.97
Route Index: 0 - Episode: 4 - 0h, 0m, 48s - Average Reward -38.091 - Average IR 0.505 - Epsilon: 0.951
Route Index: 2 - Episode: 3 - 0h, 0m, 41s - Average Reward -37.562 - Average IR 0.498 - Epsilon: 0.961
Route Index: 4 - Episode: 2 - 0h, 0m, 31s - Average Reward -37.528 - Average IR 0.502 - Epsilon: 0.97
Route Index: 1 - Episode: 4 - 0h, 0m, 50s - Average Reward -38.021 - Average IR 0.504 - Epsilon: 0.951
Route Index: 3 - Episode: 3 - 0h, 0m, 42s - Average Reward -38.078 - Average IR 0.504 - Epsilon: 0.961
Route Index: 0 - Episode: 5 - 0h, 0m, 59s - Average Reward -38.084 - Average IR 0.5 - Epsilon: 0.941
