Charger ID,Latitude,Longitude
33,42.9173,-81.2086
32,42.9177,-81.209
34,42.9233,-81.2236
56,43.0488,-81.2584
89,43.0371,-81.2567
27,43.0277,-81.2779
37,42.9815,-81.2509
82,42.9857,-81.2467
84,42.9857,-81.2466
60,42.9607,-81.3344
66,42.9782,-81.323
48,42.9592,-81.3323
11,42.9903,-81.1759
16,42.9903,-81.1759
3,43.0098,-81.1585
81,42.9683,-81.3621
80,42.9666,-81.3619
88,42.9973,-81.1821
50,43.0189,-81.3102
62,43.0198,-81.3077
54,43.0031,-81.3041
0,42.9336,-81.175
13,42.9336,-81.175
23,42.9274,-81.2158
29,42.9811,-81.2472
28,43.0277,-81.2779
8,43.0251,-81.2824
59,43.0206,-81.2052
52,42.9371,-81.2888
9,42.9384,-81.282
7,42.9378,-81.2614
87,43.0206,-81.2051
45,42.9233,-81.2234
15,43.0273,-81.1545
71,43.0151,-81.1902
18,43.0265,-81.147
20,43.0106,-81.1569
35,43.0138,-81.1515
44,42.9233,-81.2235
12,42.9381,-81.2611
36,42.9551,-81.1211
42,43.0265,-81.147
77,42.9652,-81.3619
17,42.9385,-81.2607
