"(-42.25732255941337, 0, 0, 1234)","(-42.69001784307023, 0, 0, 1234)","(-42.229062753050336, 0, 0, 1234)","(-41.12040046303914, 0, 0, 1234)","(-41.59188525052937, 0, 0, 1234)","(-40.70207401443783, 0, 0, 1234)","(-41.33759096270965, 0, 0, 1234)","(-41.3585373906675, 0, 0, 1234)","(-40.45207385383098, 0, 0, 1234)","(-41.71971317738932, 0, 0, 1234)","(-41.9799952874876, 0, 0, 1234)","(-41.15534389635688, 0, 0, 1234)","(-41.57980739146146, 0, 0, 1234)","(-42.19708999255312, 0, 0, 1234)","(-40.59891782756712, 0, 0, 1234)","(-40.45820573691523, 0, 0, 1234)","(-42.2008323336468, 0, 0, 1234)","(-41.7711125501165, 0, 0, 1234)","(-41.63424269537144, 0, 0, 1234)","(-42.61573379365424, 0, 0, 1234)","(-41.81738617113402, 0, 0, 1234)","(-40.597353820324244, 0, 0, 1234)","(-40.50415528583552, 0, 0, 1234)","(-41.37051619133228, 0, 0, 1234)","(-42.778451695716925, 0, 0, 1234)"
"(-42.53425541214122, 0, 1, 1234)","(-41.555878174787914, 0, 1, 1234)","(-42.05170899370325, 0, 1, 1234)","(-41.27211533629685, 0, 1, 1234)","(-40.81988633977298, 0, 1, 1234)","(-42.970716799367366, 0, 1, 1234)","(-42.315193567234445, 0, 1, 1234)","(-42.33337186469023, 0, 1, 1234)","(-43.02265760233565, 0, 1, 1234)","(-42.63387382029309, 0, 1, 1234)","(-41.188799975995224, 0, 1, 1234)","(-40.40397339985894, 0, 1, 1234)","(-40.27290112904497, 0, 1, 1234)","(-41.73696721780122, 0, 1, 1234)","(-40.648206860786715, 0, 1, 1234)","(-41.082786813947706, 0, 1, 1234)","(-43.00047426248207, 0, 1, 1234)","(-41.46106092702158, 0, 1, 1234)","(-41.737336630394275, 0, 1, 1234)","(-41.52869890623225, 0, 1, 1234)","(-42.14795522124629, 0, 1, 1234)","(-43.15565123878117, 0, 1, 1234)","(-41.486128598719624, 0, 1, 1234)","(-40.51709863745065, 0, 1, 1234)","(-42.07283350641956, 0, 1, 1234)"
"(-40.824622351530486, 0, 2, 1234)","(-39.94141685437232, 0, 2, 1234)","(-41.426854787227384, 0, 2, 1234)","(-39.8514430585864, 0, 2, 1234)","(-40.235097209367304, 0, 2, 1234)","(-41.31558251057293, 0, 2, 1234)","(-40.03512918092113, 0, 2, 1234)","(-40.08555559079801, 0, 2, 1234)","(-40.50009634052139, 0, 2, 1234)","(-40.502996326680034, 0, 2, 1234)","(-40.45619766244859, 0, 2, 1234)","(-40.810655657124514, 0, 2, 1234)","(-39.093448958038856, 0, 2, 1234)","(-40.71898444557996, 0, 2, 1234)","(-40.7706547211384, 0, 2, 1234)","(-40.98260390667909, 0, 2, 1234)","(-40.13148896687222, 0, 2, 1234)","(-40.237678196880935, 0, 2, 1234)","(-41.35447097804286, 0, 2, 1234)","(-40.121851038750975, 0, 2, 1234)","(-39.99002557370723, 0, 2, 1234)","(-40.389305352359656, 0, 2, 1234)","(-39.96694596057227, 0, 2, 1234)","(-42.026436948420354, 0, 2, 1234)","(-40.73270304500848, 0, 2, 1234)"
"(-41.50226014083175, 0, 3, 1234)","(-43.132027557091604, 0, 3, 1234)","(-39.80863963326746, 0, 3, 1234)","(-41.79935436168574, 0, 3, 1234)","(-41.725470671080096, 0, 3, 1234)","(-42.93677049790989, 0, 3, 1234)","(-42.1647147718825, 0, 3, 1234)","(-41.40147813930444, 0, 3, 1234)","(-41.20349488268221, 0, 3, 1234)","(-41.50999257246569, 0, 3, 1234)","(-40.422249974900446, 0, 3, 1234)","(-41.40226147635485, 0, 3, 1234)","(-41.92937474036678, 0, 3, 1234)","(-42.27876267681032, 0, 3, 1234)","(-43.50154659935454, 0, 3, 1234)","(-41.15979573039126, 0, 3, 1234)","(-41.622808675575335, 0, 3, 1234)","(-40.36652390951347, 0, 3, 1234)","(-42.22679082857554, 0, 3, 1234)","(-40.25400849683258, 0, 3, 1234)","(-40.44259410103693, 0, 3, 1234)","(-41.63430374177077, 0, 3, 1234)","(-41.25378344734542, 0, 3, 1234)","(-40.32419617904222, 0, 3, 1234)","(-41.34475517618896, 0, 3, 1234)"
"(-40.62568275987708, 0, 4, 1234)","(-41.09870818878655, 0, 4, 1234)","(-39.93471412690943, 0, 4, 1234)","(-41.2067325986668, 0, 4, 1234)","(-41.203372173550285, 0, 4, 1234)","(-41.51383752176195, 0, 4, 1234)","(-41.77389486595451, 0, 4, 1234)","(-40.995457846120864, 0, 4, 1234)","(-42.706622047439815, 0, 4, 1234)","(-40.95524535569104, 0, 4, 1234)","(-41.167730659341075, 0, 4, 1234)","(-40.580289016237245, 0, 4, 1234)","(-41.43924796142458, 0, 4, 1234)","(-41.93314281784101, 0, 4, 1234)","(-41.9078799540842, 0, 4, 1234)","(-40.540594162519234, 0, 4, 1234)","(-40.815084398016886, 0, 4, 1234)","(-40.89340959299886, 0, 4, 1234)","(-41.154120107670124, 0, 4, 1234)","(-41.154406526004074, 0, 4, 1234)","(-41.02961186816934, 0, 4, 1234)","(-39.49540230065733, 0, 4, 1234)","(-40.64889211983305, 0, 4, 1234)","(-41.44585085759058, 0, 4, 1234)","(-41.06040587016175, 0, 4, 1234)"
"(-43.68719738087968, 1, 0, 1234)","(-42.270856460134034, 1, 0, 1234)","(-42.92600086689131, 1, 0, 1234)","(-40.69702237027789, 1, 0, 1234)","(-41.417816377412095, 1, 0, 1234)","(-40.85190461663156, 1, 0, 1234)","(-41.53893803474749, 1, 0, 1234)","(-41.085396626509, 1, 0, 1234)","(-42.45018223659571, 1, 0, 1234)","(-41.598952036065, 1, 0, 1234)","(-42.654149585233874, 1, 0, 1234)","(-41.82638701413721, 1, 0, 1234)","(-41.550200715762315, 1, 0, 1234)","(-41.45085791059344, 1, 0, 1234)","(-41.13560130472103, 1, 0, 1234)","(-42.08175347654781, 1, 0, 1234)","(-40.93092481779577, 1, 0, 1234)","(-41.959369449129625, 1, 0, 1234)","(-41.21776039104696, 1, 0, 1234)","(-41.04659521519197, 1, 0, 1234)","(-41.042651608829004, 1, 0, 1234)","(-40.0458454631128, 1, 0, 1234)","(-41.182298385818, 1, 0, 1234)","(-41.29871200015476, 1, 0, 1234)","(-41.245735262988475, 1, 0, 1234)"
"(-41.097645805152105, 1, 1, 1234)","(-40.59307230386135, 1, 1, 1234)","(-40.63948340282199, 1, 1, 1234)","(-40.707664190803, 1, 1, 1234)","(-43.47327651351032, 1, 1, 1234)","(-41.75955046399462, 1, 1, 1234)","(-42.32894524343738, 1, 1, 1234)","(-42.112925995645774, 1, 1, 1234)","(-44.42758788995191, 1, 1, 1234)","(-43.25419531962549, 1, 1, 1234)","(-41.80763765301076, 1, 1, 1234)","(-41.770121876424675, 1, 1, 1234)","(-42.00153514135358, 1, 1, 1234)","(-42.702235800010165, 1, 1, 1234)","(-41.564706664309, 1, 1, 1234)","(-41.72146282299163, 1, 1, 1234)","(-44.26704556183445, 1, 1, 1234)","(-42.59733674487186, 1, 1, 1234)","(-41.035302478942796, 1, 1, 1234)","(-41.28271997674788, 1, 1, 1234)","(-41.289109172957595, 1, 1, 1234)","(-41.471329391330485, 1, 1, 1234)","(-41.49240391470551, 1, 1, 1234)","(-41.87139024430349, 1, 1, 1234)","(-43.27057206104666, 1, 1, 1234)"
"(-41.95844709113745, 1, 2, 1234)","(-40.325309758630034, 1, 2, 1234)","(-41.3840372043743, 1, 2, 1234)","(-41.777946238201565, 1, 2, 1234)","(-41.140798997882804, 1, 2, 1234)","(-40.25335694664544, 1, 2, 1234)","(-41.46710946648071, 1, 2, 1234)","(-40.0325978811393, 1, 2, 1234)","(-39.53637462164954, 1, 2, 1234)","(-39.7409332469727, 1, 2, 1234)","(-40.18052056225221, 1, 2, 1234)","(-41.36348516232793, 1, 2, 1234)","(-41.36040087003926, 1, 2, 1234)","(-40.63825290858053, 1, 2, 1234)","(-41.95820214946742, 1, 2, 1234)","(-40.916626514565145, 1, 2, 1234)","(-41.395787241332556, 1, 2, 1234)","(-40.45668360424808, 1, 2, 1234)","(-40.78441097601455, 1, 2, 1234)","(-41.375814223518915, 1, 2, 1234)","(-40.16002182962634, 1, 2, 1234)","(-39.74582896418983, 1, 2, 1234)","(-41.50176113811809, 1, 2, 1234)","(-41.284165938856304, 1, 2, 1234)","(-43.18944276950451, 1, 2, 1234)"
"(-41.36176758386108, 1, 3, 1234)","(-41.91545877469301, 1, 3, 1234)","(-41.608036400367084, 1, 3, 1234)","(-40.983190795641875, 1, 3, 1234)","(-41.631615137149254, 1, 3, 1234)","(-42.017625735591366, 1, 3, 1234)","(-41.553906304222444, 1, 3, 1234)","(-41.05361754518929, 1, 3, 1234)","(-41.44270505872857, 1, 3, 1234)","(-42.81236539171427, 1, 3, 1234)","(-42.81993276839846, 1, 3, 1234)","(-41.11971085911906, 1, 3, 1234)","(-43.10655408260932, 1, 3, 1234)","(-41.956335154305506, 1, 3, 1234)","(-44.28456519962353, 1, 3, 1234)","(-44.11180798971388, 1, 3, 1234)","(-41.15527665306038, 1, 3, 1234)","(-41.11008423461805, 1, 3, 1234)","(-42.184931230318995, 1, 3, 1234)","(-43.12987900394068, 1, 3, 1234)","(-41.597853580473846, 1, 3, 1234)","(-42.09004019261908, 1, 3, 1234)","(-41.86860971822089, 1, 3, 1234)","(-42.55556904200187, 1, 3, 1234)","(-41.874268307773285, 1, 3, 1234)"
"(-40.62664222398689, 1, 4, 1234)","(-41.85025121033787, 1, 4, 1234)","(-41.24709591469555, 1, 4, 1234)","(-40.94358736806233, 1, 4, 1234)","(-40.072458067762085, 1, 4, 1234)","(-43.71698554961346, 1, 4, 1234)","(-40.71867277832573, 1, 4, 1234)","(-41.849966626015565, 1, 4, 1234)","(-42.138288591054305, 1, 4, 1234)","(-41.86590321218312, 1, 4, 1234)","(-42.37978385168224, 1, 4, 1234)","(-41.6205472871209, 1, 4, 1234)","(-43.029988742055885, 1, 4, 1234)","(-41.46189410182823, 1, 4, 1234)","(-42.884844933534424, 1, 4, 1234)","(-42.898571779878786, 1, 4, 1234)","(-41.310011866812644, 1, 4, 1234)","(-40.820540017088234, 1, 4, 1234)","(-41.71007977348925, 1, 4, 1234)","(-41.601697396498594, 1, 4, 1234)","(-41.13004986562711, 1, 4, 1234)","(-42.31397452873001, 1, 4, 1234)","(-41.271054973186764, 1, 4, 1234)","(-41.464476059706115, 1, 4, 1234)","(-41.31487884831164, 1, 4, 1234)"
